4578 46085
474 hence 1
475 readings 1
476 cigar 4
477 lounge 10
478 closer 5
479 pm 55
480 heading 21
481 tomorrow 96
482 reschedule 4
483 nahh 2
484 still 103
485 mostly 2
486 giving 8
487 ourselves 4
488 extra 2
489 padding 1
490 confident 1
491 wont 31
492 cool 62
493 amber 43
494 yeah 121
495 sorry 108
496 man 48
497 town 23
498 aurora 5
499 till 22
500 about 137
501 after 48
502 three 24
503 brothers 14
504 sounds 42
505 roommate 2
506 too 128
507 nate 1
508 gon 63
509 come 102
510 has 67
511 finally 6
512 arrived 6
513 aww 6
514 took 14
515 meet 41
516 earlier 12
517 chance 17
518 well 110
519 bobs 5
520 house 56
521 soon 71
522 meetup 1
523 maybe 53
524 definitely 4
525 bros 1
526 say 32
527 welcome 20
528 oh 53
529 books 3
530 damn 10
531 wonder 5
532 neuro 1
533 stuff 31
534 headed 5
535 k 132
536 few 50
537 umm 1
538 pcp 3
539 dude 9
540 who 42
541 ate 7
542 own 13
543 crap 14
544 bath 9
545 salts 8
546 muahaha 1
547 thought 30
548 snooze 1
549 callnot 1
550 yet 55
551 wood 2
552 today 129
553 nap 5
554 long 26
555 could 56
556 lem 3
557 us 59
558 goin 13
559 mike 31
560 goes 13
561 bed 17
562 best 18
563 weekend 26
564 talk 53
565 laid 2
566 crashed 1
567 several 1
568 hours 21
569 bad 38
570 plans 21
571 ru 7
572 staying 10
573 studying 2
574 busy 21
575 friends 11
576 borders 1
577 nothing 24
578 left 42
579 fast 6
580 virus 4
581 pc 3
582 might 45
583 oknot 1
584 had 81
585 mailing 1
586 contacts 3
587 mean 14
588 mail 6
589 hacked 1
590 asap 11
591 strong 10
592 okay 15
593 later 53
594 please 45
595 thanks 127
596 text 41
597 forget 11
598 wnt 5
599 bdubs 7
600 chicago 57
601 tnght 19
602 nce 2
603 ugh 3
604 acid 5
605 pranksters 1
606 baaad 1
607 trip 16
608 send 36
609 d 6
610 screen 5
611 shots 3
612 part 5
613 tom 31
614 our 67
615 teams 2
616 restarted 1
617 hear 37
618 breath 1
619 sigh 1
620 relief 1
621 rather 3
622 short 9
623 amidst 1
624 finals 1
625 really 33
626 tests 4
627 ivory 3
628 comes 8
629 zombie 4
630 variety 1
631 havet 1
632 skip 4
633 lunch 30
634 family 33
635 restaurant 4
636 whenever 4
637 works 15
638 open 15
639 eat 22
640 food 20
641 hw 4
642 bringng 1
643 vikes 13
644 old 21
645 happy 54
646 easter 13
647 great 41
648 heardseen 1
649 dad 30
650 forgot 17
651 childs 1
652 gender 1
653 james 5
654 wife 17
655 mom 104
656 doin 6
657 finish 6
658 havin 3
659 fun 13
660 joe 7
661 hasnt 2
662 broken 3
663 neck 1
664 came 14
665 birth 1
666 control 1
667 joining 4
668 parent 2
669 club 3
670 awesome 17
671 didnt 42
672 message 21
673 mms 1
674 phone 34
675 said 51
676 team 6
677 logging 2
678 chat 3
679 hour 19
680 search 2
681 functionality 1
682 doesnt 13
683 work 113
684 coordinate 1
685 approve 2
686 thx 20
687 cme 2
688 cedar 3
689 point 7
690 wtch 1
691 bulls 1
692 hawks 1
693 game 16
694 wth 2
695 thats 70
696 sat 9
697 usually 7
698 church 9
699 graduation 6
700 itd 1
701 ish 5
702 bonfirin 1
703 interested 8
704 already 28
705 made 25
706 awww 2
707 slow 7
708 mac 7
709 utilitys 1
710 run 13
711 clean 10
712 similar 2
713 windows 3
714 homepage 1
715 dvds 1
716 dns 1
717 likeits 1
718 running 29
719 faster 2
720 conversation 2
721 okwe 1
722 making 14
723 smores 3
724 head 29
725 mateys 1
726 leave 35
727 cos 1
728 business 2
729 meeting 34
730 ask 35
731 javascript 1
732 connect 2
733 thurs 4
734 perfect 6
735 responding 1
736 sidetracked 1
737 minute 12
738 remembered 3
739 looking 24
740 wed 4
741 sell 9
742 ours 2
743 havent 16
744 renig 1
745 integrated 1
746 night 72
747 min 17
748 re 3
749 leavin 1
750 jenny 8
751 mels 1
752 place 25
753 thai 1
754 mall 3
755 theyre 5
756 having 24
757 jazz 1
758 lcome 1
759 join 8
760 reservations 1
761 starts 11
762 bit 17
763 once 14
764 sound 1
765 coo 12
766 van 4
767 key 11
